time,inlet,outlet,drop
0.2335,29.3545,0.0,29.3545
0.234,29.3491,0.0,29.3491
0.2345,29.3438,0.0,29.3438
0.235,29.3386,0.0,29.3386
0.2355,29.3333,0.0,29.3333
0.236,29.3282,0.0,29.3282
0.2365,29.323,0.0,29.323
0.237,29.3179,0.0,29.3179
0.2375,29.3128,0.0,29.3128
0.238,29.3078,0.0,29.3078
0.2385,29.3028,0.0,29.3028
0.239,29.2978,0.0,29.2978
0.2395,29.2929,0.0,29.2929
0.24,29.288,0.0,29.288
0.2405,29.2832,0.0,29.2832
0.241,29.2784,0.0,29.2784
0.2415,29.2736,0.0,29.2736
0.242,29.2688,0.0,29.2688
0.2425,29.2641,0.0,29.2641
0.243,29.2594,0.0,29.2594
0.2435,29.2548,0.0,29.2548
0.244,29.2502,0.0,29.2502
0.2445,29.2462,0.0,29.2462
0.245,29.2408,0.0,29.2408
0.2455,29.237,0.0,29.237
0.246,29.2319,0.0,29.2319
0.2465,29.2281,0.0,29.2281
0.247,29.223,0.0,29.223
0.2475,29.2193,0.0,29.2193
0.248,29.2143,0.0,29.2143
0.2485,29.2106,0.0,29.2106
0.249,29.2057,0.0,29.2057
0.2495,29.2021,0.0,29.2021
0.25,29.1972,0.0,29.1972
0.2505,29.1937,0.0,29.1937
0.251,29.1889,0.0,29.1889
0.2515,29.1854,0.0,29.1854
0.252,29.181,0.0,29.181
0.2525,29.1768,0.0,29.1768
0.253,29.1728,0.0,29.1728
0.2535,29.1688,0.0,29.1688
0.254,29.1648,0.0,29.1648
0.2545,29.1608,0.0,29.1608
0.255,29.1569,0.0,29.1569
0.2555,29.153,0.0,29.153
0.256,29.1491,0.0,29.1491
0.2565,29.1453,0.0,29.1453
0.257,29.1415,0.0,29.1415
0.2575,29.1377,0.0,29.1377
0.258,29.1339,0.0,29.1339
0.2585,29.1302,0.0,29.1302
0.259,29.1265,0.0,29.1265
0.2595,29.1228,0.0,29.1228
0.26,29.1192,0.0,29.1192
0.2605,29.1156,0.0,29.1156
0.261,29.112,0.0,29.112
0.2615,29.1084,0.0,29.1084
0.262,29.1049,0.0,29.1049
0.2625,29.1013,0.0,29.1013
0.263,29.0978,0.0,29.0978
0.2635,29.0944,0.0,29.0944
0.264,29.0909,0.0,29.0909
